Token,ID,Frequency,embVal000,embVal001,embVal002,embVal003,embVal004,embVal005,embVal006,embVal007
we,14020,275,-0.06951672415016219,9.501585736870766e-05,-0.007249469519592822,-0.03072982281446457,0.0029387143440544605,-0.025930678006261587,-0.0017588450573384762,0.03985188854858279
may,18617,33,-0.00024213133535037437,-0.03630435032149156,0.08038191159721464,0.019065889141832788,0.07656390778720379,0.030722922335068386,-0.010379939960936705,-0.002768503191570441
chance,8188,5,0.024041638243943453,0.008882364316377789,-0.03461043525021523,-0.07623782940208912,-0.047097595408558846,-0.04737501032650471,-0.04926242679357529,0.0361317889764905
to,11,7659,-0.00553612963994965,0.028247527399798855,0.041757064405828714,0.026284452760592103,-0.017907207940879744,0.04761092853732407,-0.009765072900336236,0.035341929527930915
hit,3086,5280,0.01098044466925785,-0.010009543781052344,-0.023759302333928645,-0.02463961864123121,-0.010363671099185012,0.013820950611261651,-0.014110055402852595,-0.027854025654960424
upon,3086,5280,0.01098044466925785,-0.010009543781052344,-0.023759302333928645,-0.02463961864123121,-0.010363671099185012,0.013820950611261651,-0.014110055402852595,-0.027854025654960424
some,12138,27,-0.008579471614211798,0.022667928555165417,-0.04371095076203346,0.031956190563505515,-0.05935854074778035,-0.022866939078085124,0.03469779319129884,-0.005947075958829373
other,310,63,0.032442005816847086,-0.05605435429606587,0.055075456970371306,-0.032776083098724484,0.03382921777665615,0.066196248983033,0.010903676506131887,0.020969280507415533
obvious,1440,2625,0.030466936761513352,-0.002071681898087263,0.052088257973082364,0.010223137447610497,0.017516930704005063,0.04880026518367231,0.003329278202727437,-0.024670032726135105
facts,3086,5280,0.01098044466925785,-0.010009543781052344,-0.023759302333928645,-0.02463961864123121,-0.010363671099185012,0.013820950611261651,-0.014110055402852595,-0.027854025654960424
which,1464,668,0.005740212160162628,-0.022492235410027206,0.020280440105125308,-0.004063871456310153,-0.024216774210799485,0.009624297847039998,0.02539377030916512,-0.003634291351772845
have,273,1208,0.028946203994564712,0.0261498586187372,-0.045181444846093655,0.0650489964755252,-0.03267044317908585,-0.0398001535795629,-0.04081850219517946,-0.06274642399512231
been,5299,44,-0.054503573512192816,-0.004390944028273225,-0.04312626924365759,-0.018522361235227436,0.012649598167627119,-0.04013869295886252,-0.008596441795816645,0.0068409397499635816
by,6332,803,-0.020420397398993373,0.004364196443930268,0.006238259433303028,-0.021618791739456356,-0.007130851678084582,0.011131712701171637,-0.03130555688403547,-0.0007722715381532907
no,6332,803,-0.020420397398993373,0.004364196443930268,0.006238259433303028,-0.021618791739456356,-0.007130851678084582,0.011131712701171637,-0.03130555688403547,-0.0007722715381532907
means,14116,1647,-0.018823842518031597,0.009879649616777897,0.021710542147047818,0.04729862467502244,0.012934665195643902,-0.004836976120714098,0.019499209942296147,-0.021118866512551904
Mr.,267,220,0.008772392640821636,0.052330602949950844,-0.002329133334569633,-0.018747065449133515,-0.029996933677466586,-0.05266133532859385,-0.06047908798791468,0.04749184369575232
Lestrade,1938,709,0.006678696954622865,0.05701594380661845,-0.013797456253087148,0.023676828714087605,-0.023976288706762716,-0.04279440455138683,-0.03592919546645135,0.014892120729200542
.,38520,1103,0.008202219614759088,0.025073954835534096,-0.09297359478659928,0.05568064957333263,0.014282911084592342,-0.13013796345330775,-0.06578525598160923,-0.07025384111329913
You,11,7659,-0.00553612963994965,0.028247527399798855,0.041757064405828714,0.026284452760592103,-0.017907207940879744,0.04761092853732407,-0.009765072900336236,0.035341929527930915
know,786,443,-0.03590700845234096,-0.012245222693309188,0.04838845296762884,0.011811971082352102,0.05390281695872545,0.0321795498020947,0.048744525061920285,0.014246011051000096
me,35563,507,-0.03449278650805354,-0.02030525845475495,-0.029272557934746146,0.024422066286206245,0.03043756727129221,-0.03034798987209797,-0.004223620519042015,-0.012396407313644886
too,611,64,0.015021485975012183,0.029439784528221935,-0.023264694726094604,0.009646684862673283,-0.015633543371222913,-0.0028716528322547674,-0.0070313733303919435,-0.015649790060706437
well,70899,7,-0.08762504544574767,-0.02981593832373619,-0.08434535749256611,-0.042448196560144424,0.075040303170681,-0.05796445324085653,-0.09296380635350943,-0.052647124975919724
think,3086,5280,0.01098044466925785,-0.010009543781052344,-0.023759302333928645,-0.02463961864123121,-0.010363671099185012,0.013820950611261651,-0.014110055402852595,-0.027854025654960424
that,63985,102,0.02956416574306786,-0.0031273455097107217,0.028868434485048056,-0.011589140398427844,0.03470257413573563,0.020441118627786636,0.0065781534649431705,-0.024386867895373143
I,5172,139,0.03774646855890751,0.0015901225269772112,0.01605317462235689,-0.05243020557099953,0.02628237009048462,0.0003119933826383203,-0.023722320096567273,0.027449929155409336
am,119984,58,-0.046891821795725264,0.013526921684388071,0.011056676332373172,-0.05155792518053204,0.0255279082339257,0.016323735704645514,-0.020477941492572427,0.010089093761052936
boasting,49631,175,-0.017666101804934442,-0.07572957244701684,-0.020768593880347908,-0.058646188816055655,0.04093229482532479,0.030520757427439094,-0.009299216559156775,-0.044094351469539106
when,79,226,-0.0006745979189872742,-0.007961430586874485,-0.01135749975219369,0.005532719194889069,-0.011738744331523776,0.02834137750323862,0.01473321858793497,-0.05455613718368113
say,2624,14,-0.013934351237756866,-0.028299714039478983,0.014002688495176179,-0.01041238009929657,0.019969246217182705,0.024603733526808873,0.05623634498832481,0.0010174834834677832
shall,13,6197,-0.035656013526022434,-0.0028332704678177834,-0.016613295825663954,-0.02452131570316851,-0.0007786941714584827,-0.009836964774876833,0.02056255569914356,0.049810901866294444
either,60317,8,0.006876320019364357,-0.11392321288585663,-0.07177253402769565,-0.03461073786020279,0.06894826099160127,-0.04069440513849258,0.06630203314125538,-0.05676641762256622
confirm,690,384,6.668851710855961e-05,-0.03547693800646812,0.003926953926566057,0.035829098196700215,0.042102498235180974,0.013035439536906779,0.05346928848302923,-0.016901338298339397
or,273,1208,0.028946203994564712,0.0261498586187372,-0.045181444846093655,0.0650489964755252,-0.03267044317908585,-0.0398001535795629,-0.04081850219517946,-0.06274642399512231
destroy,40,3027,0.022168292198330164,-0.0020192273368593305,-0.0030753177125006914,-0.003559498640242964,-0.025643044093158096,-0.0003215185133740306,0.03974314387596678,0.02865039391326718
his,30,738,-0.004140342818573117,-0.01591259680571966,-0.024502282962203026,-0.006290457444265485,0.02883562896749936,-0.05962250131415203,-0.031246515456587076,-0.02555117756128311
theory,14116,1647,-0.018823842518031597,0.009879649616777897,0.021710542147047818,0.04729862467502244,0.012934665195643902,-0.004836976120714098,0.019499209942296147,-0.021118866512551904
he,86,261,-0.0018625921220518649,0.018706305185332894,0.018129837466403842,0.026643007528036833,-0.010459768353030086,0.0026253668474964797,0.007777575578074902,0.003875374561175704
is,64,2537,-0.015543074056040496,-0.014980346662923694,-0.010969084687530994,0.00384584441781044,-0.009315665578469634,-0.007953631924465299,0.012346075498498976,0.011279150727204978
quite,82,740,0.01873342541512102,0.035183371779567096,0.022948487574467435,-0.005510814575245604,-0.08173506148159504,0.025108211673796177,0.008610673248767853,0.044593572965823114
incapable,371,130,-0.016291949432343245,-0.009273136442061514,0.03990579836681718,-0.014354533312143758,-0.00441012647934258,0.014455927012022585,0.026603995822370052,0.04886978317517787
of,276,1130,-0.03196895378641784,0.02577987697441131,-0.0077629476436413825,0.030326659558340907,-0.027949021430686116,0.01324997004121542,0.009464064962230623,0.018880745978094637
employing,266,761,0.03217321913689375,-0.02556375111453235,-0.015615947893820703,0.028214537916937843,0.00018001170246861875,-0.020587150880601257,0.002594999852590263,-0.044661680702120066
",",7393,155,-0.021517642540857196,0.028961268602870405,0.024324232595972717,-0.004119466466363519,0.0013982002274133265,-0.0024676621542312205,-0.03423156403005123,-0.006050840951502323
even,13320,1230,0.01977621839614585,0.025910150332492776,0.004665648913942277,0.014397914608707651,-0.03462565364316106,-0.013504768663551658,-0.024754589510848746,0.007764084963127971
understanding,54103,76,0.009018243056743813,-0.016796953335870057,-0.003007363004144281,-0.005616523827484343,-0.014769768342375755,0.015278701030183583,0.05217901011928916,0.009116251254454255
To,27874,9,0.04121624523152908,0.02183672289053599,-0.0818888396024704,-0.025968360404173534,-0.03310014400631189,-0.009962463130553564,-0.017683773611982662,-0.05859023208419482
take,13,6197,-0.035656013526022434,-0.0028332704678177834,-0.016613295825663954,-0.02452131570316851,-0.0007786941714584827,-0.009836964774876833,0.02056255569914356,0.049810901866294444
